iter	Passed	Remaining
0	2	2064
1	3	1680
2	5	1749
3	6	1711
4	8	1693
5	11	1895
6	14	2125
7	16	2055
8	18	2067
9	20	2011
10	22	1979
11	24	1976
12	26	2002
13	28	2001
14	31	2047
15	33	2064
16	35	2080
17	38	2100
18	39	2055
19	41	2050
20	43	2030
21	48	2147
22	49	2105
23	51	2084
24	52	2056
25	54	2039
26	56	2041
27	59	2052
28	61	2062
29	65	2111
30	66	2084
31	68	2063
32	69	2030
33	71	2021
34	72	2004
35	77	2063
36	79	2061
37	81	2059
38	83	2051
39	85	2051
40	86	2033
41	88	2020
42	93	2070
43	94	2058
44	96	2044
45	98	2035
46	100	2027
47	101	2012
48	103	2001
49	104	1989
50	106	1986
51	109	1992
52	111	1999
53	112	1979
54	114	1973
55	115	1954
56	117	1942
57	118	1921
58	120	1917
59	121	1903
60	124	1919
61	127	1928
62	128	1915
63	130	1911
64	132	1905
65	133	1893
66	135	1889
67	138	1895
68	139	1881
69	140	1869
70	142	1864
71	145	1872
72	146	1864
73	148	1856
74	149	1848
75	151	1836
76	153	1839
77	155	1837
78	157	1832
79	159	1839
80	161	1832
81	163	1830
82	165	1825
83	167	1824
84	168	1815
85	169	1803
86	172	1815887	174	1811888	176	1803889	177	1795990	179	1793991	181	1788992	182	1779993	183	176894	187	1783
95	189	1781
996	190	1770997	193	1785
98	195	1777999	197	17741100	198	17681101	200	17611102	201	1758
103	203	17501104	205	17521105	208	1760
106	210	1755
107	224	1852
108	226	1850
109	228	1849
110	230	1842
111	231	1836
112	233	1829
113	235	1831
114	237	1829
115	239	1826
116	241	1819
117	242	1815
118	243	1806
119	245	1802
120	247	1796
121	249	1793
122	252	1798
123	255	1804
124	256	1798
125	258	1795
126	259	1785
127	261	1784
128	263	1778
129	265	1778
130	268	1779
131	270	1775
132	272	1774
133	273	1766
134	275	1764
135	277	1765
136	279	1759
137	282	1761
138	282	1752
139	284	1750
140	286	1742
141	287	1737
142	289	1736
143	291	1730
144	292	1724
145	294	1720
146	296	1718
147	298	1715
148	300	1715
149	302	1714
150	304	1713
151	306	1707
152	308	1707
153	309	1702
154	310	1693
155	312	1692
156	315	1694
157	317	1689
158	319	1687
159	321	1686
160	323	1683
161	324	1679
162	326	1675
163	327	1669
164	329	1666
165	330	1658
166	331	1654
167	333	1652
168	335	1650
169	337	1645
170	338	1639
171	340	1636
172	341	1631
173	342	1627
174	344	1625
175	347	1626
176	350	1627
177	351	1625
178	353	1621
179	354	1616
180	356	1613
181	357	1607
182	359	1603
183	360	1598
184	362	1597
185	365	1597
186	367	1599
187	369	1596
188	371	1592
189	372	1589
190	374	1586
191	376	1582
192	377	1580
193	380	1580
194	381	1576
195	383	1574
196	384	1569197	391	1584
198	393	1582
199	395	1580
200	396	1578
201	399	1576
202	401	1575
203	402	1572
204	404	1569
205	406	1565
206	406	1559
207	408	1556
208	410	1554
209	412	1552
210	415	1554
211	417	1550
212	418	1547
213	420	1545
214	422	1543
215	423	1538
216	426	1537
217	428	1537
218	431	1537
219	442	1568
220	444	1566
221	447	1568
222	450	1568
223	451	1565
224	454	1565
225	456	1563
226	459	1564
227	465	1577
228	468	1576
229	470	1576
230	474	1578
231	482	1596
232	484	1596
233	486	1593
234	491	1600
235	495	1603
236	501	1615
237	503	1611
238	504	1606
239	509	1614
240	513	1616
241	515	1614
242	530	1651
243	532	1649
244	533	1644
245	534	1639
246	538	1640
247	544	1652
248	546	1649
249	548	1646
250	550	1643
251	552	1639
252	554	1638
253	557	1636
254	559	1634
255	562	1633
256	564	1630
257	565	1626
258	567	1622
259	568	1618
260	571	1619
261	573	1615
262	576	1614
263	577	1611
264	579	1606
265	580	1601
266	582	1597
267	583	1592
268	584	1588
269	586	1585
270	588	1582
271	589	1577
272	591	1574
273	594	1574
274	595	1571
275	597	1568
276	599	1564
277	602	1565
278	606	1567
279	608	1565
280	610	1562
281	611	1557
282	614	1556
283	616	1553
284	618	1551
285	622286	62286	624287	62287	626288	62288	628289	63289	630290	63290	634	1546
291	638	1546
292	640293	64293	642294	64294	643295	64295	645296	64296	647297	650	1533
298	655	1537
299	657	1534
300	660	1534
301	662	1532
302	664	1528
303	66303	671	1536
304	673	1533
305	676	1534
306	679	1532
307	681	1531
308	683	1528
309	686	1527
310	690	1530
311	698	1539
312	702	1542
313	707	1546
314	709	1542
315	711	1541
316	716	1542
317	719	1543
318	721	1541
319	723	1538
320	726	1537
321	732	1543
322	736	1543
323	737	1539
324	739	1535
325	740	1531
326	742	1527
327	743	1522
328	745	1520
329	747	1517
330	750	1516
331	751	1512
332	752	1508
333	754	1503
334	755	1500
335	757	1496
336	758	1491
337	759	1487
338	761	1485
339	763	1481
340	765	1478
341	767	1476
342	769	1473
343	770	1468
344	771	1464
345	772	1460
346	774	1457
347	776	1454
348	779	1453
349	782	1452
350	783	1449
351	785	1446
352	787	1442
353	788	1439
354	789	1434
355	791	1432
356	793	1429
357	795	1426
358	798	1425
359	799	1421
360	801	1418
361	802	1414
362	803	1410
363	805	1407
364	808	1405
365	810	1404
366	812	1401
367	815	1399
368	816	1395
369	817	1392
370	818	1388
371	820	1384
372	821	1381
373	823	1378
374	825	1375
375	827	1373
376	829	1370
377	831	1367
378	832	1364
379	834	1360
380	835	1356
381	836	1352
382	837	1349
383	839	1346
384	841	1343
385	843	1341
386	845	1339
387	847	1336
388	848	1332
389	849	1329
390	851	1325
391	852	1322
392	854	1319
393	856	1317
394	858	1314
395	860	1313
396	862	1309
397	864	1306
398	866	1304
399	868	1302
400	870	1299
401	871	1296
402	875	1296
403	878	1296
404	881	1294
405	883	1291
406	885	1290
407	889	1289
408	896	1295
409	897	1292
410	899	1289
411	902	1288
412	905	1286
413	909	1287
414	912	1286
415	915	1284
416	916	1281
417	918	1278
418	920	1276
419	923	1275
420	925	1273
421	927	1270
422	930	1268
423	930	1264
424	932	1261
425	933	1258
426	935	1255
427	937	1253
428	941	1253
429	943	1251
430	945	1248
431	946	1244
432	948	1241
433	949	1238
434	951	1235
435	953	1233
436	957	1232
437	959	1230
438	960	1227
439	962	1224
440	964	1223
441	968	1222
442	972	1222
443	974	1220
444	976	1217
445	978	1215
446	981	1213
447	984	1212
448	986	1211
449	990	1210
450	991	1207
451	992	1203
452	994	1201
453	996	1198
454	999	1197
455	1002	1195
456	1004	1193
457	1005	1190
458	1007	1187
459	1009	1184
460	1011	1182
461	1012	1178
462	1014	1176
463	1016	1174
464	1019	1172
465	1021	1171
466	1023	1167
467	1025	1165
468	1026	1162
469	1028	1159
470	1029	1156
471	1030	1152
472	1031	1149
473	1033	1147
474	1035	1144
